,CADENA,ESTADO,SITUACION
382,116.209.56.232:9999,NO USO,NUEVO
383,116.209.56.56:9999,NO USO,NUEVO
384,116.209.56.57:9999,NO USO,NUEVO
385,116.209.57.11:9999,NO USO,NUEVO
386,116.209.57.113:9999,NO USO,NUEVO
387,116.209.57.115:9999,NO USO,NUEVO
388,116.209.57.123:9999,NO USO,NUEVO
389,116.209.57.124:9999,NO USO,NUEVO
390,116.209.57.158:9999,NO USO,NUEVO
391,116.209.57.174:9999,NO USO,NUEVO
392,116.209.57.178:9999,NO USO,NUEVO
393,116.209.57.207:9999,NO USO,NUEVO
394,116.209.57.214:9999,NO USO,NUEVO
395,116.209.57.228:9999,NO USO,NUEVO
396,116.209.57.54:9999,NO USO,NUEVO
397,116.209.57.57:8082,NO USO,NUEVO
398,116.209.57.74:9999,NO USO,NUEVO
399,116.209.57.78:9999,NO USO,NUEVO
400,116.209.58.145:9999,NO USO,NUEVO
401,116.209.58.147:9999,NO USO,NUEVO
402,116.209.58.176:9999,NO USO,NUEVO
403,116.209.58.182:9999,NO USO,NUEVO
404,116.209.58.185:9999,NO USO,NUEVO
405,116.209.58.219:9999,NO USO,NUEVO
406,116.209.58.236:9999,NO USO,NUEVO
407,116.209.58.32:9999,NO USO,NUEVO
408,116.209.58.65:9999,NO USO,NUEVO
409,116.209.58.66:9999,NO USO,NUEVO
410,116.209.58.69:9999,NO USO,NUEVO
411,116.209.58.70:9999,NO USO,NUEVO
412,116.209.58.85:9999,NO USO,NUEVO
413,116.209.58.89:9999,NO USO,NUEVO
414,116.209.59.110:9999,NO USO,NUEVO
415,116.209.59.118:9999,NO USO,NUEVO
416,116.209.59.141:9999,NO USO,NUEVO
417,116.209.59.16:9999,NO USO,NUEVO
418,116.209.59.166:9999,NO USO,NUEVO
419,116.209.59.179:9999,NO USO,NUEVO
420,116.209.59.181:9999,NO USO,NUEVO
421,116.209.59.186:9999,NO USO,NUEVO
422,116.209.59.228:9999,NO USO,NUEVO
423,116.209.59.230:9999,NO USO,NUEVO
424,116.209.59.249:9999,NO USO,NUEVO
425,116.209.59.29:9999,NO USO,NUEVO
426,116.209.59.33:9999,NO USO,NUEVO
427,116.209.59.7:9999,NO USO,NUEVO
428,116.209.59.70:9999,NO USO,NUEVO
429,116.209.59.81:9999,NO USO,NUEVO
430,116.209.59.82:9999,NO USO,NUEVO
431,116.209.59.83:9999,NO USO,NUEVO
432,116.209.59.88:9999,NO USO,NUEVO
433,116.254.101.16:80,NO USO,NUEVO
434,116.71.136.98:8080,NO USO,NUEVO
435,116.74.95.18:21776,NO USO,NUEVO
436,117.103.69.113:8080,NO USO,NUEVO
437,117.121.207.223:8081,NO USO,NUEVO
438,117.141.155.244:53281,NO USO,NUEVO
439,117.196.237.202:8080,NO USO,NUEVO
440,117.196.237.96:50618,NO USO,NUEVO
441,117.198.129.24:42666,NO USO,NUEVO
442,117.2.22.41:41973,NO USO,NUEVO
443,117.206.149.207:8080,NO USO,NUEVO
444,117.206.83.198:52071,NO USO,NUEVO
445,117.212.93.85:8080,NO USO,NUEVO
446,117.212.95.124:8080,NO USO,NUEVO
447,117.212.95.31:8080,NO USO,NUEVO
448,117.240.135.28:63141,NO USO,NUEVO
449,117.242.36.240:8080,NO USO,NUEVO
450,117.247.190.37:808,NO USO,NUEVO
451,117.252.65.103:8080,NO USO,NUEVO
452,117.252.67.97:8080,NO USO,NUEVO
453,117.252.69.153:8080,NO USO,NUEVO
454,117.252.70.101:8080,NO USO,NUEVO
455,117.252.70.132:8080,NO USO,NUEVO
456,117.252.71.149:8080,NO USO,NUEVO
457,117.254.216.142:8080,NO USO,NUEVO
458,117.254.216.178:8080,NO USO,NUEVO
459,117.254.216.238:8080,NO USO,NUEVO
460,117.254.217.126:8080,NO USO,NUEVO
461,117.254.217.228:8080,NO USO,NUEVO
462,117.254.217.72:23500,NO USO,NUEVO
463,117.254.219.101:8080,NO USO,NUEVO
464,117.7.230.113:443,NO USO,NUEVO
465,117.82.241.98:8118,NO USO,NUEVO
466,117.95.192.8:9999,NO USO,NUEVO
467,118.151.209.203:63141,NO USO,NUEVO
468,118.172.183.24:8080,NO USO,NUEVO
469,118.172.201.118:54351,NO USO,NUEVO
470,118.172.201.132:37627,NO USO,NUEVO
471,118.172.201.149:37662,NO USO,NUEVO
472,118.172.201.60:46896,NO USO,NUEVO
473,118.172.211.11:56143,NO USO,NUEVO
474,118.174.196.39:52226,NO USO,NUEVO
475,118.174.211.219:3557,NO USO,NUEVO
476,118.174.211.222:8080,NO USO,NUEVO
